stop_name,lat,lon
ST DENIS,48.8266801,2.318339
ST FARGEAU,48.8715218,2.4043104
ST GRATIEN,,
ST LEU,48.8628805,2.3500653
ST MAMMES,,
ST MARTIN,,
ST MICHEL ORGE,,
ST NOM LA BRETE,,
ST OUEN,48.8971558,2.3288425
ST OUEN AUMONE,49.035841,2.1208185
ST OUEN EGLISE,49.1491824,0.5098631
ST OUEN LIESSE,49.035841,2.1208185
ST QUENTIN YVE,,
ST-DENIS-BASIL,,
ST-DENIS-PTE P,48.8694641,2.3536513
ST-DENIS-UNIV.,,
ST-FRAN.XAVIER,,
ST-GERM.D.PRES,,
ST-GERMAIN,48.8565526,2.3333311
ST-MANDE TOUR.,,
ST-MAUR-CRET.,,
ST-PH.DU-ROULE,,
ST-REMY-LES-CH,,
ST-SEBASTIEN.F,48.8615198,2.370998
STADE,45.8375894,4.6078174
STADE DE FRANCE,48.8557562,2.3535027
STAINS CERISAIE,,
STALINGRAD,48.8842416,2.3670741
STE COLOMBE,,
STE GENEVIEVE,48.8471145,2.3386206
STRAS.ST-DENIS,,
SUCY-BONNEUIL,,
SULLY-MORLAND,48.8513954,2.3618174
SURESNES,48.8640757,2.2316874
SURVILLIERS,,
Saint Denis Pleyel,,
Saint-Cyr T13,48.8820211,2.285737
Saint-Germain-en-Laye T13,,
Saint-Nom-la-Bretèche Forêt de Marly T13,,
TACOIGNIERES,,
TAVERNY,49.0260115,2.2242548
TELEGRAPHE,48.8754961,2.3989653
TEMPLE,48.8664946,2.3607078
TERNES,48.8783132,2.2990737
THIAIS-ORLY,,
THIEUX NANTOUIL,,
THOMERY,,
THUN  PARADIS,,
TOLBIAC,48.8260904,2.3573505
TORCY,48.8905061,2.3599967
TOURNAN,48.7389185,2.7592541
TRAITE DE ROME T12,,
TRAPPES,48.7969311,1.9819696
TRIEL SUR SEINE,,
TRILPORT,,
TRINITE,48.8762745,2.3313736
TROCADERO,48.863045,2.2871938
TUILERIES,48.8645194,2.3296312
US,,
VAIRES TORCY,,
VAL D ARGENT,48.9525176,2.2274313
VAL D OR,46.7850383,4.842633
VAL D'EUROPE,48.8767274,2.3213785
VAL D.FONTENAY,,
VALLEES,48.8471942,2.4168141
VALMONDOIS,,
VANEAU,48.8491519,2.3218529
VANVES MALAKOFF,,
VARENNE,48.856226,2.314965
VAUBOYEN,,
VAUCELLES,50.166441,3.22957
VAUCRESSON,,
VAUGIRARD,48.839587,2.3012795
VAUX SUR SEINE,,
VAVIN,48.8422164,2.3290114
VERNEUIL ETANG,,
VERNOU SUR SEIN,,
VERNOUILLET,,
VERRIERE,48.8348662,2.3182003
VERSAILLES CH,48.8326696,2.2883696
VERSAILLES RD,,
VERSAILLES RG,,
VERT DE MAISONS,,
VERT GALANT,48.8574066,2.3403279
VIARMES,48.8630307,2.3432586
VICTOR HUGO,48.8699395,2.2860712
VIGNEUX,,
VILLABE,48.5942915,2.4439776
VILLAINES,,
VILLEJ.L.ARAG.,,
VILLEJ.L.LAGR.,,
VILLEJ.P.V.C,,
VILLENEUVE ROI,,
VILLENEUVE ST G,48.7492587,2.4389395
VILLENEUVE TRIA,,
VILLENNES SEINE,,
VILLEPARISIS,,
VILLEPINTE,,
VILLEPREUX,48.8328291,2.4052971
VILLETANEUSE U,,
VILLIERS,48.8811181,2.3149118
VILLIERS LE BEL,,
VILLIERS M T14,48.8057267,2.5350992
VILLIERS MONTBA,,
VILLIERS NEAUPH,,
VILLIERS SUR M,48.8057267,2.5350992
VINCENNES,48.831548,2.4341479
VIROFLAY RD,,
VIROFLAY RG,,
VIRY CHATILLON,,
VITRY SUR SEINE,48.7809265,2.3948475
VOLONTAIRES,48.8415334,2.3080102
VOLTAIRE,48.8581794,2.3798223
VOSVES,,
VULAINES SUR SE,,
Villejuif Gustave Ro,,
WAGRAM,48.8840526,2.3037389
YERRES,48.7381035,2.7604819
YVRIS NOISY GD,,
